ID,Total_Screentime,Average_Total_Screentime
1000002,4.0,19.36
1000003,10.5,19.36
1000004,16.0,19.36
1000005,25.0,19.36
1000006,7.0,19.36
1000007,18.5,19.36
1000008,18.5,19.36
1000009,15.5,19.36
1000010,14.0,19.36
1000011,15.5,19.36
1000012,44.5,19.36
1000013,20.5,19.36
1000015,10.0,19.36
1000016,15.0,19.36
1000017,25.0,19.36
1000018,36.0,19.36
1000019,16.5,19.36
1000020,17.0,19.36
1000021,36.0,19.36
1000022,16.0,19.36
1000023,17.0,19.36
1000024,28.0,19.36
1000025,15.0,19.36
1000026,21.0,19.36
1000027,20.0,19.36
1000028,30.0,19.36
1000029,6.0,19.36
1000030,18.0,19.36
1000031,14.5,19.36
1000032,17.0,19.36
1000033,18.0,19.36
1000034,22.0,19.36
1000035,15.0,19.36
1000036,18.0,19.36
1000037,7.0,19.36
1000038,15.0,19.36
1000039,27.0,19.36
1000040,16.0,19.36
1000041,17.0,19.36
1000042,12.0,19.36
1000043,21.5,19.36
1000044,24.0,19.36
1000045,19.0,19.36
1000046,6.0,19.36
1000048,11.5,19.36
1000049,11.5,19.36
1000050,3.0,19.36
1000051,14.5,19.36
1000052,16.0,19.36
1000053,6.0,19.36
1000054,12.5,19.36
1000055,28.0,19.36
1000056,24.0,19.36
1000057,23.0,19.36
1000058,8.5,19.36
1000059,7.0,19.36
1000060,16.5,19.36
1000061,11.5,19.36
1000062,34.0,19.36
1000063,12.0,19.36
1000064,18.0,19.36
1000065,13.5,19.36
1000066,14.0,19.36
1000067,19.0,19.36
1000068,10.0,19.36
1000069,18.0,19.36
1000070,18.0,19.36
1000071,20.0,19.36
1000072,34.0,19.36
1000073,32.5,19.36
1000074,13.5,19.36
1000075,3.0,19.36
1000076,36.0,19.36
1000077,17.5,19.36
1000078,21.0,19.36
1000079,20.0,19.36
1000080,25.0,19.36
1000081,13.5,19.36
1000082,15.0,19.36
1000083,14.0,19.36
1000084,16.0,19.36
1000085,13.5,19.36
1000086,13.0,19.36
1000087,18.0,19.36
1000089,26.0,19.36
1000090,3.0,19.36
1000091,16.5,19.36
1000092,13.0,19.36
1000093,14.0,19.36
1000094,17.5,19.36
1000095,17.5,19.36
1000096,11.0,19.36
1000098,15.0,19.36
1000099,13.0,19.36
1000100,15.0,19.36
1000101,14.5,19.36
1000102,14.5,19.36
1000103,20.0,19.36
1000104,16.5,19.36
1000105,12.0,19.36
1000106,24.0,19.36
1000107,7.5,19.36
1000108,10.5,19.36
1000109,14.0,19.36
1000110,10.0,19.36
1000111,7.5,19.36
1000112,34.0,19.36
1000113,8.0,19.36
1000114,19.0,19.36
1000115,21.0,19.36
1000116,19.0,19.36
1000117,9.5,19.36
1000118,29.0,19.36
1000119,12.5,19.36
1000121,5.0,19.36
1000123,22.0,19.36
1000124,28.0,19.36
1000125,15.0,19.36
1000126,18.0,19.36
1000127,9.0,19.36
1000128,13.0,19.36
1000129,8.5,19.36
1000130,16.5,19.36
1000131,11.5,19.36
1000132,5.0,19.36
1000133,14.5,19.36
1000134,11.0,19.36
1000135,9.0,19.36
1000136,30.0,19.36
1000137,18.0,19.36
1000138,10.5,19.36
1000139,7.0,19.36
1000142,6.5,19.36
1000143,13.0,19.36
1000144,10.0,19.36
1000145,24.5,19.36
1000146,10.5,19.36
1000147,26.0,19.36
1000148,17.5,19.36
1000149,16.5,19.36
1000150,6.5,19.36
1000151,16.0,19.36
1000152,24.0,19.36
1000153,16.0,19.36
1000154,14.0,19.36
1000155,23.0,19.36
1000156,13.5,19.36
1000157,16.0,19.36
1000158,10.0,19.36
1000159,29.0,19.36
1000160,16.0,19.36
1000161,18.5,19.36
1000162,10.0,19.36
1000163,5.5,19.36
1000164,23.0,19.36
1000165,14.0,19.36
1000167,11.0,19.36
1000168,17.0,19.36
1000169,24.0,19.36
1000170,9.5,19.36
1000171,8.5,19.36
1000172,11.5,19.36
1000173,11.0,19.36
1000174,6.0,19.36
1000175,8.0,19.36
1000176,8.5,19.36
1000177,12.5,19.36
1000178,7.0,19.36
1000179,14.0,19.36
1000180,21.5,19.36
1000181,15.0,19.36
1000182,38.0,19.36
1000183,12.0,19.36
1000184,13.0,19.36
1000185,17.0,19.36
1000186,6.5,19.36
1000187,17.0,19.36
1000188,14.0,19.36
1000189,22.0,19.36
1000190,13.5,19.36
1000191,24.0,19.36
1000192,26.0,19.36
1000193,17.0,19.36
1000194,5.0,19.36
1000195,24.0,19.36
1000196,15.0,19.36
1000197,17.0,19.36
1000198,9.5,19.36
1000199,38.0,19.36
1000200,31.0,19.36
1000201,10.0,19.36
1000202,11.0,19.36
1000203,23.0,19.36
1000204,16.0,19.36
1000205,24.0,19.36
1000206,20.0,19.36
1000207,22.0,19.36
1000208,11.0,19.36
1000209,21.0,19.36
1000210,20.5,19.36
1000211,9.0,19.36
1000212,24.0,19.36
1000213,12.5,19.36
1000214,23.0,19.36
1000215,8.0,19.36
1000216,9.5,19.36
1000217,10.5,19.36
1000218,9.5,19.36
1000219,18.0,19.36
1000220,14.5,19.36
1000221,26.5,19.36
1000222,23.5,19.36
1000223,14.5,19.36
1000224,13.5,19.36
1000225,6.0,19.36
1000226,7.0,19.36
1000227,7.5,19.36
1000228,29.0,19.36
1000229,13.0,19.36
1000230,11.0,19.36
1000231,6.0,19.36
1000232,27.5,19.36
1000234,12.5,19.36
1000235,13.5,19.36
1000236,14.0,19.36
1000237,12.0,19.36
1000238,6.5,19.36
1000239,21.5,19.36
1000240,24.5,19.36
1000241,36.0,19.36
1000242,11.5,19.36
1000243,18.0,19.36
1000244,14.0,19.36
1000245,22.0,19.36
1000246,11.5,19.36
1000247,26.0,19.36
1000248,20.5,19.36
1000249,9.0,19.36
1000250,9.0,19.36
1000251,14.0,19.36
1000252,11.5,19.36
1000253,6.0,19.36
1000254,16.5,19.36
1000255,33.0,19.36
1000256,10.0,19.36
1000257,18.5,19.36
1000258,7.0,19.36
1000259,26.0,19.36
1000260,22.0,19.36
1000261,28.5,19.36
1000262,23.0,19.36
1000263,11.5,19.36
1000264,41.0,19.36
1000265,14.0,19.36
1000266,6.0,19.36
1000267,16.5,19.36
1000268,21.5,19.36
1000269,15.0,19.36
1000270,18.5,19.36
1000271,11.0,19.36
1000272,12.0,19.36
1000273,12.5,19.36
1000274,9.0,19.36
1000275,28.0,19.36
1000276,27.0,19.36
1000277,10.5,19.36
1000278,7.5,19.36
1000279,17.0,19.36
1000280,17.0,19.36
1000281,20.0,19.36
1000282,20.0,19.36
1000283,21.0,19.36
1000284,11.5,19.36
1000285,13.0,19.36
1000286,13.0,19.36
1000287,22.0,19.36
1000288,40.0,19.36
1000289,11.0,19.36
1000290,30.0,19.36
1000291,27.0,19.36
1000292,7.0,19.36
1000293,23.5,19.36
1000294,12.0,19.36
1000295,11.0,19.36
1000296,7.0,19.36
1000297,7.5,19.36
1000298,15.5,19.36
1000299,11.0,19.36
1000300,16.5,19.36
1000301,14.5,19.36
1000302,19.0,19.36
1000303,11.0,19.36
1000304,22.0,19.36
1000305,9.5,19.36
1000306,24.0,19.36
1000307,17.0,19.36
1000308,12.5,19.36
1000309,9.0,19.36
1000310,18.0,19.36
1000311,14.0,19.36
1000312,17.0,19.36
1000313,19.0,19.36
1000314,10.0,19.36
1000315,19.0,19.36
1000316,24.0,19.36
1000317,37.5,19.36
1000318,17.0,19.36
1000319,24.5,19.36
1000320,13.0,19.36
1000322,15.0,19.36
1000323,12.0,19.36
1000324,17.0,19.36
1000325,20.0,19.36
1000326,19.0,19.36
1000327,35.0,19.36
1000328,7.5,19.36
1000329,20.0,19.36
1000330,11.0,19.36
1000331,17.0,19.36
1000332,13.0,19.36
1000333,11.0,19.36
1000334,11.0,19.36
1000335,18.0,19.36
1000336,24.5,19.36
1000337,15.5,19.36
1000338,18.0,19.36
1000339,2.5,19.36
1000340,19.0,19.36
1000341,34.0,19.36
1000342,14.0,19.36
1000343,44.0,19.36
1000344,12.0,19.36
1000345,12.5,19.36
1000346,7.5,19.36
1000347,31.0,19.36
1000348,12.5,19.36
1000349,11.5,19.36
1000350,28.0,19.36
1000351,22.5,19.36
1000352,20.5,19.36
1000353,24.0,19.36
1000354,36.0,19.36
1000355,45.0,19.36
1000356,22.5,19.36
1000357,33.0,19.36
1000358,12.5,19.36
1000359,10.5,19.36
1000360,9.0,19.36
1000361,4.0,19.36
1000362,9.5,19.36
